Date,KRW,NEER
2/26/2002,1150.37,104.1822
2/27/2002,1147.72,103.5763
2/28/2002,1145.22,103.4017
3/1/2002,1148.93,103.7926
3/4/2002,1140.28,102.898
3/5/2002,1142.9,104.0671
3/6/2002,1146.76,104.1363
3/7/2002,1152.03,104.1144
3/8/2002,1156.19,103.441
3/11/2002,1146.82,104.2066
3/12/2002,1151.45,104.7051
3/13/2002,1151.58,104.0282
3/14/2002,1157.59,103.6077
3/15/2002,1171.07,103.5362
3/18/2002,1165.2,104.3158
3/19/2002,1171.26,104.0409
3/20/2002,1168.56,103.906
3/21/2002,1169.84,104.6037
3/22/2002,1168.33,104.856
3/25/2002,1161.88,106.0114
3/26/2002,1161.41,105.1974
